nb_ville,type_modification_temperature,type_mutation,temperature_initiale,temperature_finale,alpha,amplitude,max_repetition,temperature_fin_exec,cout,temps_execution
30,1,1,4370,0.017,0.993,3,1121,0.017,48.19,1.742
30,1,2,2268,0.017,0.92,6,1820,0.016,48.32,0.234
30,1,1,4269,0.015,0.974,4,1413,0.015,48.26,0.524
30,1,3,4334,0.015,0.999,3,2177,0.015,46.37,39.5
30,1,2,4132,0.017,0.951,3,125,0.017,52.68,0.112
30,1,2,2587,0.014,0.945,3,999,0.014,49.24,0.187
30,1,1,4391,0.015,0.97,3,1891,0.015,46.37,0.667
30,1,1,2405,0.015,0.96,6,1905,0.015,46.37,0.501
30,1,3,3026,0.012,0.851,6,1076,0.01,53.99,0.184
30,1,1,2773,0.019,0.855,6,2299,0.019,50.55,0.153
30,1,1,3217,0.019,0.866,5,984,0.018,55.12,0.072
30,1,3,1145,0.011,0.863,7,1993,0.01,49.67,0.38
30,1,1,4350,0.019,0.95,7,447,0.019,55.63,0.135
30,1,3,3342,0.019,0.897,4,1219,0.017,48.5,0.217
30,1,2,3570,0.019,0.954,5,963,0.019,50.03,0.23
30,1,1,3277,0.012,0.9,7,887,0.012,55.57,0.119
30,1,2,4640,0.019,0.966,5,2126,0.019,47.36,0.632
30,1,3,4500,0.012,0.994,3,952,0.012,46.37,3.001
30,1,1,2004,0.017,0.864,7,1597,0.017,53.2,0.106
30,1,3,2136,0.013,0.962,4,832,0.013,47.91,0.426
30,1,1,903,0.013,0.906,6,1935,0.013,53.85,0.175
30,1,2,1294,0.015,0.985,3,646,0.015,46.96,0.47
30,1,2,1265,0.012,0.971,3,1084,0.012,50.55,0.352
30,1,1,4220,0.012,0.91,7,2022,0.011,51.04,0.214
30,1,2,4657,0.016,0.978,5,838,0.016,48.59,0.487
30,1,2,3356,0.015,0.999,7,1588,0.015,46.37,18.024
30,1,1,2443,0.012,0.887,3,549,0.012,57.6,0.072
30,1,2,3420,0.016,0.967,5,1392,0.016,48.32,0.454
30,1,2,1355,0.012,0.877,6,1584,0.011,51.67,0.171
30,1,2,1294,0.014,0.87,4,2423,0.012,48.14,0.173
30,1,3,2174,0.014,0.997,7,2422,0.014,46.37,21.042
30,1,3,1259,0.012,0.904,6,318,0.011,55.51,0.107
30,1,3,4429,0.016,0.913,5,1957,0.016,47.91,0.494
30,1,1,4036,0.02,0.883,3,1443,0.018,53.75,0.111
30,1,3,1571,0.01,0.947,3,997,0.01,49.72,0.349
30,1,1,3499,0.011,0.92,3,926,0.011,53.48,0.143
30,1,1,1585,0.014,0.873,6,681,0.013,54.04,0.057
30,1,3,3540,0.018,0.85,3,1878,0.015,48.49,0.243
30,1,3,2457,0.014,0.942,7,1867,0.013,48.09,0.842
30,1,2,3852,0.018,0.927,7,216,0.018,53.69,0.083
30,1,1,2201,0.012,0.942,4,1008,0.012,49.45,0.193
30,1,3,3754,0.017,0.98,7,697,0.017,46.37,0.987
30,1,2,3875,0.013,0.872,7,1511,0.011,49.71,0.142
30,1,3,4573,0.017,0.954,6,1696,0.017,48.44,0.916
30,1,3,2614,0.02,0.976,3,1002,0.02,49.76,0.703
30,1,3,4160,0.016,0.94,4,693,0.016,48.66,0.258
30,1,1,2744,0.016,0.966,6,2280,0.016,51.9,0.607
30,1,1,1239,0.013,0.918,4,2018,0.012,53.0,0.221
